Customer_ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,Total_Quantity,Avg_Quantity_Per_Order,Avg_Order_Value,Order_Value_Std,Unique_Products,Tenure_Days,Purchase_Frequency_Rate,Monetary_per_Frequency,Quantity_per_Product
12346.0,165,10,327.86,2,5,2,60,1.875,10.245625,6.729074584076512,26,196,0.05102040816326531,32.786,2.3076923076923075
12347.0,3,2,1196.72,5,2,4,792,11.478260869565217,17.34376811594203,7.007140916792809,69,37,0.05405405405405406,598.36,11.478260869565217
12348.0,74,1,222.16,2,1,2,373,18.65,11.108,4.545074372618295,20,0,1.0,222.16,18.65
12349.0,43,2,1698.6399999999999,3,2,5,937,10.075268817204302,18.264946236559137,6.5354830205804575,82,181,0.011049723756906077,849.3199999999999,11.426829268292684
12351.0,11,1,300.93,5,1,2,261,12.428571428571429,14.33,4.014716677425693,21,0,1.0,300.93,12.428571428571429
12352.0,11,2,343.8,5,2,2,188,10.444444444444445,19.1,6.649237019476481,18,16,0.125,171.9,10.444444444444445
12353.0,44,1,317.76,3,1,2,192,9.6,15.888,7.941850241798689,20,0,1.0,317.76,9.6
12355.0,203,1,369.40999999999997,1,1,2,279,13.95,18.470499999999998,9.107061155759132,20,0,1.0,369.40999999999997,13.95
12356.0,16,3,908.24,4,3,4,1057,17.327868852459016,14.889180327868853,9.274123551596302,53,44,0.06818181818181818,302.74666666666667,19.943396226415093
12357.0,24,1,1950.09,4,1,5,1388,14.610526315789473,20.527263157894737,9.545168037051159,95,0,1.0,1950.09,14.610526315789473
12358.0,11,3,833.31,5,3,4,484,10.521739130434783,18.115434782608695,9.910295814964186,44,356,0.008426966292134831,277.77,11.0
12359.0,61,6,1900.71,3,4,5,691,6.457943925233645,17.763644859813084,6.042137475174824,102,308,0.01948051948051948,316.785,6.7745098039215685
12360.0,28,4,1350.83,4,4,4,1288,14.976744186046512,15.707325581395349,8.60499901554065,74,263,0.015209125475285171,337.7075,17.405405405405407
12361.0,98,3,321.35,2,3,2,144,7.578947368421052,16.913157894736845,3.9962427529306677,14,220,0.013636363636363636,107.11666666666667,10.285714285714286
12368.0,264,1,198.4,1,1,2,152,19.0,24.8,9.083580162657702,8,0,1.0,198.4,19.0
12369.0,49,3,1442.43,3,3,4,1148,12.615384615384615,15.85087912087912,7.423092294897001,90,228,0.013157894736842105,480.81,12.755555555555556
12370.0,260,3,614.62,1,3,3,248,7.294117647058823,18.077058823529413,6.2744810382584815,33,44,0.06818181818181818,204.87333333333333,7.515151515151516
12371.0,45,3,1764.3200000000002,3,3,5,799,7.99,17.6432,7.468146617400459,90,235,0.01276595744680851,588.1066666666667,8.877777777777778
12373.0,260,2,603.0500000000001,1,2,3,315,9.0,17.23,8.454473232973113,30,49,0.04081632653061224,301.52500000000003,10.5
12374.0,57,2,756.3,3,2,4,526,18.785714285714285,27.010714285714283,9.73612362157564,28,166,0.012048192771084338,378.15,18.785714285714285
12376.0,25,2,183.15,4,2,1,94,10.444444444444445,20.35,10.135025900312241,8,28,0.07142857142857142,91.575,11.75
12377.0,17,2,1510.24,4,2,5,1011,14.23943661971831,21.270985915492957,9.844345317407868,71,208,0.009615384615384616,755.12,14.23943661971831
12378.0,198,1,1407.7,1,1,4,787,9.597560975609756,17.167073170731708,7.3871587761942274,82,0,1.0,1407.7,9.597560975609756
12379.0,58,2,722.98,3,2,4,405,10.125,18.0745,6.8304866928747066,37,112,0.017857142857142856,361.49,10.945945945945946
12380.0,101,4,2869.89,2,4,5,1647,11.680851063829786,20.35382978723404,8.603274348390725,105,197,0.02030456852791878,717.4725,15.685714285714285
12385.0,15,1,1076.3,5,1,4,474,8.777777777777779,19.93148148148148,8.65004796745505,54,0,1.0,1076.3,8.777777777777779
12386.0,2,1,144.3,5,1,1,82,13.666666666666666,24.05,5.584890330167639,6,0,1.0,144.3,13.666666666666666
12387.0,51,1,143.94,3,1,1,134,14.88888888888889,15.993333333333332,7.734248509066669,9,0,1.0,143.94,14.88888888888889
12388.0,81,2,702.9,2,2,3,406,10.41025641025641,18.02307692307692,7.087685820026224,32,136,0.014705882352941176,351.45,12.6875
12389.0,38,3,726.23,3,3,4,404,10.35897435897436,18.62128205128205,7.941168606660244,37,253,0.011857707509881422,242.07666666666668,10.91891891891892
12391.0,100,4,1837.83,2,4,5,838,4.761363636363637,10.442215909090908,7.543156306327496,155,198,0.020202020202020204,459.4575,5.406451612903226
12392.0,227,1,93.15,1,1,1,25,5.0,18.630000000000003,4.382008671830762,5,0,1.0,93.15,5.0
12393.0,18,2,717.85,4,2,4,435,10.609756097560975,17.508536585365853,7.054563261101147,38,46,0.043478260869565216,358.925,11.447368421052632
12395.0,7,4,1697.24,5,4,5,1221,13.271739130434783,18.448260869565217,7.55004499057924,81,231,0.017316017316017316,424.31,15.074074074074074
12396.0,310,1,931.43,1,1,4,591,9.092307692307692,14.329692307692307,3.5209391366290537,65,0,1.0,931.43,9.092307692307692
12399.0,21,3,806.85,4,3,4,948,18.96,16.137,6.692518591833781,40,259,0.011583011583011582,268.95,23.7
12400.0,50,1,205.25,3,1,2,91,8.272727272727273,18.65909090909091,5.161628530891108,11,0,1.0,205.25,8.272727272727273
12402.0,28,5,1031.3,4,4,4,490,8.305084745762711,17.47966101694915,5.05163099851704,40,277,0.018050541516245487,206.26,12.25
12403.0,157,1,36.0,2,1,1,2,2.0,36.0,0.0,1,0,1.0,36.0,2.0
12406.0,35,3,810.02,4,3,4,530,16.060606060606062,24.546060606060607,10.209138657164578,27,297,0.010101010101010102,270.00666666666666,19.62962962962963
12408.0,21,3,887.62,4,3,4,632,13.166666666666666,18.492083333333333,7.609809726794369,40,112,0.026785714285714284,295.87333333333333,15.8
12409.0,56,2,1190.42,3,2,4,1240,31.794871794871796,30.523589743589746,8.281696840871597,34,144,0.013888888888888888,595.21,36.470588235294116
12410.0,138,1,240.38,2,1,2,128,9.846153846153847,18.49076923076923,7.107890523376655,13,0,1.0,240.38,9.846153846153847
12411.0,45,1,287.2,3,1,2,132,6.285714285714286,13.676190476190476,4.383937130240893,21,0,1.0,287.2,6.285714285714286
12412.0,38,3,1021.4499999999999,3,3,4,1057,17.616666666666667,17.024166666666666,10.364520035436842,47,137,0.021897810218978103,340.4833333333333,22.48936170212766
12413.0,38,1,185.35,3,1,1,31,2.5833333333333335,15.445833333333333,4.418888092008778,12,0,1.0,185.35,2.5833333333333335
12414.0,99,1,130.0,2,1,1,193,24.125,16.25,10.559583325112786,8,0,1.0,130.0,24.125
