Feature,Importance
Frequency,0.37725828178993626
Monetary,0.25534199629483123
Unique_Products,0.1640062290290938
Total_Quantity,0.10037645489957173
Tenure_Days,0.07807514988516835
Recency,0.01105540094077434
RFM_Score,0.004001063223899228
Purchase_Frequency_Rate,0.0031191440394148563
Avg_Order_Value,0.002748905223565789
Avg_Quantity_Per_Order,0.0013738751468054056
Last_Purchase_day,0.001090515521771296
Order_Value_Std,0.0009751726070991331
First_Purchase_day,0.00047679961679750297
R_Score,6.103517681702871e-05
Last_Purchase_month,2.569210953452677e-05
First_Purchase_month,7.49142639507869e-06
First_Purchase_year,5.033087606884509e-06
F_Score,1.066956957970185e-06
M_Score,6.930239196313027e-07
Last_Purchase_year,3.994292688216587e-14
